image,component_id,area_px,eq_diameter_px,eq_diameter_um,size_group,d_class_coverage,detected
D0624-13_crop_00.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9557522123893806,1
D0624-13_crop_00.jpg,3,49,7.898654169668588,4.303186791635446,small_<=5um,0.9591836734693877,1
D0624-13_crop_00.jpg,4,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.8523489932885906,1
D0624-13_crop_00.jpg,5,49,7.898654169668588,4.303186791635446,small_<=5um,0.8163265306122449,1
D0624-16_crop_02.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.6790123456790124,1
D0624-21_crop_00.jpg,1,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9557522123893806,1
D0624-21_crop_00.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,1.0,1
D0624-21_crop_00.jpg,3,197,15.837556323903858,8.62830068526282,medium_5-10um,0.8375634517766497,1
D0624-21_crop_00.jpg,4,113,11.994835078277376,6.534786150645513,medium_5-10um,1.0,1
D0624-21_crop_02.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.9795918367346939,1
D0624-22_crop_00.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,1.0,1
D0624-22_crop_00.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,0.8024691358024691,1
D0624-22_crop_00.jpg,3,113,11.994835078277376,6.534786150645513,medium_5-10um,0.911504424778761,1
D0624-22_crop_00.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.8641975308641975,1
D0624-22_crop_00.jpg,5,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.8523489932885906,1
D0624-22_crop_02.jpg,1,113,11.994835078277376,6.534786150645513,medium_5-10um,1.0,1
D0624-23_crop_02.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.8775510204081632,1
D0624-24_crop_00.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.9591836734693877,1
D0624-24_crop_00.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,1.0,1
D0624-24_crop_00.jpg,3,286,19.08262324195121,10.396213142215018,large_>10um,0.9195804195804196,1
D0624-24_crop_00.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9506172839506173,1
D0624-25_crop_00.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9753086419753086,1
D0624-25_crop_00.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,1.0,1
D0624-25_crop_00.jpg,3,81,10.155412503859614,5.532668732102717,medium_5-10um,0.8765432098765432,1
D0624-26_crop_02.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,1.0,1
D0624-27_crop_02.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9259259259259259,1
D0624-27_crop_02.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.7699115044247787,1
D0624-30_crop_00.jpg,1,317,20.090219901261573,10.945151802207304,large_>10um,0.8138801261829653,1
D0624-30_crop_00.jpg,2,49,7.898654169668588,4.303186791635446,small_<=5um,1.0,1
D0624-30_crop_00.jpg,3,49,7.898654169668588,4.303186791635446,small_<=5um,0.9795918367346939,1
