image,inclusion_precision,inclusion_recall,inclusion_f1,gt_inclusion_objects,apparent_bg_strip_fp_components,apparent_bg_d_fp_components
0711-52_crop_00.jpg,0.8961538461538462,0.608355091383812,0.724727838258165,5,2,0
0711-54_crop_00.jpg,0.9176852082813669,0.9199799949987497,0.9188311688311689,7,29,0
0711-58_crop_00.jpg,0.8432329807431516,0.8459863945578231,0.8446074436294484,10,33,4
0711-61_crop_01.jpg,0.0,0.0,0.0,0,0,0
0711-62_crop_01.jpg,0.6987577639751553,0.896414342629482,0.7853403141361257,2,7,0
0711-64_crop_02.jpg,0.7479674796747967,0.9787234042553191,0.8479262672811059,1,2,0
0711-66_crop_00.jpg,0.5963060686015831,0.8173598553345389,0.6895499618611747,3,14,0
0711-67_crop_02.jpg,0.0,0.0,0.0,0,0,0
0711-70_crop_01.jpg,0.9286422200198216,0.9503042596348884,0.9393483709273183,2,11,0
0711-71_crop_01.jpg,0.9626168224299065,0.865546218487395,0.9115044247787611,2,2,0
0726-11_crop_01.jpg,0.7352697095435685,0.7996389891696751,0.7661046260268051,9,28,0
0726-13_crop_01.jpg,0.7800718132854578,0.9445652173913044,0.8544739429695183,5,18,0
0726-14_crop_01.jpg,0.36648501362397823,0.6758793969849246,0.4752650176678445,5,7,0
0726-15_crop_00.jpg,0.7012411347517731,0.6537190082644628,0.6766467065868264,16,24,0
0726-15_crop_01.jpg,0.7177166724678037,0.8496085702513391,0.7781132075471697,16,48,1
0726-16_crop_01.jpg,0.7064935064935065,0.3496143958868895,0.46775580395528804,3,5,0
0726-18_crop_00.jpg,0.7563025210084033,0.7912087912087912,0.7733619763694952,9,13,0
0726-20_crop_00.jpg,0.6912891986062718,0.8740088105726872,0.7719844357976654,10,23,0
0726-24_crop_00.jpg,0.760840108401084,0.8027162258756254,0.7812173913043478,9,28,0
0726-26_crop_02.jpg,0.859504132231405,0.6910299003322259,0.7661141804788214,6,10,0
0726-28_crop_00.jpg,0.6318181818181818,0.6650717703349283,0.6480186480186481,18,33,0
0726-29_crop_00.jpg,0.8482682792743266,0.757486499754541,0.800311203319502,18,21,0
0726-30_crop_02.jpg,0.8366013071895425,0.8752136752136752,0.8554720133667502,5,7,3
0726-32_crop_01.jpg,0.7110834371108343,0.8724216959511077,0.783533447684391,12,34,0
0726-35_crop_00.jpg,0.8646482635796973,0.841421143847487,0.8528765920070267,18,34,0
0726-36_crop_00.jpg,0.7032967032967034,0.8050314465408805,0.7507331378299121,11,21,0
0726-6_crop_01.jpg,0.8051257253384912,0.8828207847295865,0.842185128983308,10,31,2
0726-7_crop_01.jpg,0.6645833333333333,0.8787878787878788,0.756820877817319,4,4,5
0822-11_crop_02.jpg,0.39344262295081966,0.582995951417004,0.4698205546492659,2,5,0
0822-13_crop_00.jpg,0.7493840197113693,0.5489943269726664,0.6337252567346331,16,39,0
0822-14_crop_00.jpg,0.7674731182795699,0.6510832383124288,0.704503392967304,19,37,0
0822-14_crop_01.jpg,0.9327868852459016,0.3516687268232386,0.5107719928186715,6,5,0
0822-15_crop_00.jpg,0.7771239426259654,0.678548490687219,0.7244985427738728,19,38,0
0822-16_crop_00.jpg,0.7553784860557768,0.6240947992100065,0.6834895457822638,12,20,0
0822-16_crop_01.jpg,0.38145896656534956,0.7723076923076924,0.5106815869786369,2,8,0
0822-17_crop_00.jpg,0.7818773738469886,0.6898037338439444,0.7329603255340793,23,43,0
0822-17_crop_02.jpg,0.7630662020905923,0.6105947955390335,0.6783686112545174,2,5,0
0822-1_crop_00.jpg,0.5541666666666667,0.5833333333333334,0.5683760683760684,5,8,0
0822-21_crop_01.jpg,0.7294589178356713,0.4422843256379101,0.5506807866868381,4,13,0
0822-24_crop_00.jpg,0.7066365007541479,0.592662871600253,0.6446508427932577,11,19,0
0822-26_crop_01.jpg,0.6962095875139354,0.7299824663939217,0.7126961483594864,12,35,0
0822-26_crop_02.jpg,0.0,0.0,0.0,0,2,0
0822-28_crop_02.jpg,0.0,0.0,0.0,0,1,0
0822-2_crop_01.jpg,0.782051282051282,0.17941176470588235,0.29186602870813394,4,1,2
0822-30_crop_01.jpg,0.7738287560581584,0.6261437908496732,0.6921965317919077,6,13,0
0822-31_crop_01.jpg,0.8148148148148148,0.6483300589390962,0.7221006564551422,5,3,0
0822-33_crop_00.jpg,0.6634615384615384,0.592274678111588,0.6258503401360545,14,20,0
0822-9_crop_02.jpg,0.516,0.6649484536082474,0.5810810810810811,1,2,0
0826_D-11_crop_00.jpg,1.0,0.09330628803245436,0.1706864564007421,2,0,0
0826_D-11_crop_02.jpg,0.6809815950920245,0.8538461538461538,0.7576791808873721,2,0,2
