image,component_id,area_px,eq_diameter_px,eq_diameter_um,gate_strip_coverage,strip_expert_tind_coverage,final_tind_coverage,gate_strip_detected,strip_expert_tind_detected,final_tind_detected
0506tin1_1_47_crop_03.jpg,1,65,9.09728368293446,4.956200150462694,0.0,0.0,0.0,0,0,0
0506tin1_1_49_crop_00.jpg,1,135,13.110581167104948,7.142644619838776,0.9703703703703703,0.9925925925925926,0.9703703703703703,1,1,1
0506tin1_1_49_crop_00.jpg,2,93,10.881694613449236,5.928347225407143,0.967741935483871,0.989247311827957,0.989247311827957,1,1,1
0506tin1_1_49_crop_00.jpg,3,176,14.96964127403822,8.155460566096021,0.9659090909090909,0.9829545454545454,0.9715909090909091,1,1,1
0506tin1_1_49_crop_00.jpg,4,31,6.282549314314218,3.4227328664383854,0.8709677419354839,0.9032258064516129,0.8709677419354839,1,1,1
0506tin1_1_49_crop_00.jpg,5,217,16.622063085174787,9.055699968803223,0.7373271889400922,0.8202764976958525,0.7880184331797235,1,1,1
0506tin1_1_49_crop_00.jpg,6,182,15.222667215103916,8.293309098788614,0.7252747252747253,0.7417582417582418,0.7252747252747253,1,1,1
0506tin1_1_49_crop_00.jpg,7,58,8.593479713983122,4.681727748178004,0.9137931034482759,0.9310344827586207,0.9137931034482759,1,1,1
0506tin1_1_49_crop_00.jpg,8,126,12.666024736934256,6.900450276681782,0.9285714285714286,0.9761904761904762,0.9603174603174603,1,1,1
0506tin1_1_49_crop_00.jpg,9,112,11.941642642883693,6.5058069118430355,0.6517857142857143,0.6964285714285714,0.6607142857142857,1,1,1
0506tin1_1_49_crop_00.jpg,10,77,9.901487006738307,5.394330121271029,0.8701298701298701,0.9090909090909091,0.8831168831168831,1,1,1
0506tin1_1_49_crop_00.jpg,11,55,8.368283871884005,4.559041053402406,0.8545454545454545,0.8909090909090909,0.8727272727272727,1,1,1
0506tin1_1_49_crop_00.jpg,12,182,15.222667215103916,8.293309098788614,0.8736263736263736,0.9120879120879121,0.9010989010989011,1,1,1
0506tin1_1_49_crop_00.jpg,13,109,11.780624362746345,6.418084152824208,0.8715596330275229,0.908256880733945,0.8899082568807339,1,1,1
0506tin1_1_49_crop_00.jpg,14,71,9.507891862878783,5.17989948689636,0.7887323943661971,0.8309859154929577,0.7887323943661971,1,1,1
0506tin1_1_49_crop_00.jpg,15,176,14.96964127403822,8.155460566096021,0.7159090909090909,0.7840909090909091,0.7272727272727273,1,1,1
0506tin1_1_49_crop_00.jpg,16,171,14.755472278097805,8.038781297107684,0.783625730994152,0.8538011695906432,0.8187134502923976,1,1,1
0506tin1_1_49_crop_00.jpg,17,114,12.047792665040703,6.563637443914175,0.8421052631578947,0.8859649122807017,0.8508771929824561,1,1,1
0506tin1_1_49_crop_00.jpg,18,128,12.766152972845846,6.955000139606416,0.6796875,0.75,0.71875,1,1,1
0506tin1_1_49_crop_00.jpg,19,215,16.545286401814263,9.01387203170841,0.7534883720930232,0.8232558139534883,0.8,1,1,1
0506tin1_1_49_crop_00.jpg,20,144,13.540550005146152,7.376891642803622,0.4652777777777778,0.5,0.4652777777777778,1,1,1
0506tin1_1_49_crop_00.jpg,21,198,15.877702285203682,8.650172204978965,0.8131313131313131,0.8383838383838383,0.8232323232323232,1,1,1
0506tin1_1_50_crop_01.jpg,1,29,6.076507779746499,3.3104814384058923,0.0,0.0,0.0,0,0,0
0506tin1_1_50_crop_01.jpg,2,16,4.51351666838205,2.4589638809345407,1.0,0.0,0.0,1,0,0
0506tin1_1_50_crop_01.jpg,3,20,5.046265044040321,2.7492051959931665,0.9,0.0,0.0,1,0,0
0506tin1_1_50_crop_01.jpg,4,109,11.780624362746345,6.418084152824208,0.8899082568807339,0.908256880733945,0.8990825688073395,1,1,1
0506tin1_1_50_crop_03.jpg,1,58,8.593479713983122,4.681727748178004,0.0,0.0,0.0,0,0,0
